filename, language, YAML, Groovy, Dart, Properties, Markdown, Swift, JSON, XML, C++, comment, blank, total
README.md, Markdown, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
android\app\build.gradle, Groovy, 0, 56, 0, 0, 0, 0, 0, 0, 0, 3, 13, 72
android\app\google-services.json, JSON, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 85
android\app\src\debug\AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
android\app\src\main\AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 26, 0, 9, 2, 37
android\app\src\main\res\drawable\launch_background.xml, XML, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
android\app\src\main\res\values\styles.xml, XML, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 1, 9
android\app\src\profile\AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
android\build.gradle, Groovy, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
android\gradle.properties, Properties, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
android\gradle\wrapper\gradle-wrapper.properties, Properties, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
android\settings.gradle, Groovy, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
assets\images\empty.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
ios\Runner\AppDelegate.swift, Swift, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json, JSON, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json, JSON, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md, Markdown, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
ios\Runner\Base.lproj\LaunchScreen.storyboard, XML, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
ios\Runner\Base.lproj\Main.storyboard, XML, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
ios\Runner\Runner-Bridging-Header.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
lib\data\mechanics_repository.dart, Dart, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
lib\data\user_repository.dart, Dart, 0, 0, 262, 0, 0, 0, 0, 0, 0, 2, 25, 289
lib\main.dart, Dart, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 7, 79
lib\models\mechanic.dart, Dart, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
lib\models\ticket.dart, Dart, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 15
lib\providers\connectivity_provider.dart, Dart, 0, 0, 71, 0, 0, 0, 0, 0, 0, 3, 10, 84
lib\screens\landing.dart, Dart, 0, 0, 333, 0, 0, 0, 0, 0, 0, 3, 22, 358
lib\screens\login_page.dart, Dart, 0, 0, 248, 0, 0, 0, 0, 0, 0, 28, 19, 295
lib\screens\offline_page.dart, Dart, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 56
lib\utils\index.dart, Dart, 0, 0, 124, 0, 0, 0, 0, 0, 0, 3, 16, 143
lib\widgets\country_code_selector.dart, Dart, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 17, 123
lib\widgets\country_selection_dialog.dart, Dart, 0, 0, 112, 0, 0, 0, 0, 0, 0, 3, 10, 125
lib\widgets\mechaniks_map.dart, Dart, 0, 0, 98, 0, 0, 0, 0, 0, 0, 1, 12, 111
lib\widgets\with_authentication.dart, Dart, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
pubspec.yaml, YAML, 56, 0, 0, 0, 0, 0, 0, 0, 0, 45, 16, 117
test\widget_test.dart, Dart, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
Total, -, 56, 96, 1593, 8, 13, 12, 230, 106, 1, 141, 229, 2485
